
RAW 98 person  Left=1600, Top=762, Right=1618, Bottom=803

RAW 98 person  Left=1398, Top=765, Right=1425, Bottom=815

RAW 99 person  Left=1601, Top=758, Right=1622, Bottom=807

RAW 100 person  Left=1602, Top=758, Right=1620, Bottom=804

RAW 102 person  Left=1601, Top=762, Right=1619, Bottom=805

RAW 102 person  Left=1398, Top=773, Right=1420, Bottom=823

RAW 103 person  Left=1601, Top=760, Right=1621, Bottom=808

RAW 103 person  Left=1398, Top=772, Right=1420, Bottom=824

RAW 104 person  Left=1602, Top=764, Right=1620, Bottom=806

RAW 104 person  Left=1398, Top=765, Right=1425, Bottom=814

RAW 105 person  Left=1600, Top=760, Right=1621, Bottom=806

RAW 106 person  Left=1600, Top=759, Right=1621, Bottom=806

RAW 107 person  Left=1600, Top=760, Right=1619, Bottom=802

RAW 107 person  Left=1639, Top=762, Right=1657, Bottom=798

RAW 107 person  Left=1398, Top=772, Right=1422, Bottom=824

RAW 108 person  Left=1600, Top=758, Right=1621, Bottom=806

RAW 108 person  Left=1399, Top=764, Right=1424, Bottom=814

RAW 109 person  Left=1600, Top=760, Right=1621, Bottom=806

RAW 109 person  Left=1399, Top=767, Right=1423, Bottom=812

RAW 110 person  Left=1602, Top=761, Right=1620, Bottom=803

RAW 110 person  Left=1399, Top=765, Right=1424, Bottom=813

RAW 111 person  Left=1600, Top=758, Right=1620, Bottom=806

RAW 111 person  Left=1399, Top=765, Right=1423, Bottom=814

RAW 111 person  Left=1639, Top=760, Right=1659, Bottom=798

RAW 112 person  Left=1601, Top=759, Right=1621, Bottom=806

RAW 112 person  Left=1399, Top=765, Right=1423, Bottom=814

RAW 113 person  Left=1601, Top=760, Right=1620, Bottom=804

RAW 113 person  Left=1399, Top=765, Right=1424, Bottom=814

RAW 114 person  Left=1600, Top=760, Right=1618, Bottom=803

RAW 115 person  Left=1600, Top=760, Right=1620, Bottom=805

RAW 115 person  Left=1398, Top=766, Right=1424, Bottom=812

RAW 116 person  Left=1601, Top=761, Right=1619, Bottom=803

RAW 117 person  Left=1602, Top=759, Right=1620, Bottom=803

RAW 118 person  Left=1601, Top=759, Right=1621, Bottom=804

RAW 118 person  Left=1398, Top=765, Right=1424, Bottom=813

RAW 119 person  Left=1603, Top=758, Right=1621, Bottom=804

RAW 119 person  Left=1398, Top=765, Right=1424, Bottom=813

RAW 120 person  Left=1602, Top=757, Right=1621, Bottom=804

RAW 121 person  Left=1603, Top=755, Right=1622, Bottom=805

RAW 122 person  Left=1603, Top=755, Right=1621, Bottom=803

RAW 122 person  Left=1397, Top=775, Right=1422, Bottom=823

RAW 123 person  Left=1604, Top=758, Right=1621, Bottom=802

RAW 123 person  Left=1397, Top=774, Right=1420, Bottom=824

RAW 124 person  Left=1604, Top=754, Right=1621, Bottom=801

RAW 125 person  Left=1603, Top=757, Right=1620, Bottom=801

RAW 126 person  Left=1604, Top=756, Right=1622, Bottom=802

RAW 126 person  Left=1399, Top=766, Right=1424, Bottom=813

RAW 127 person  Left=1603, Top=756, Right=1621, Bottom=801

RAW 128 person  Left=1603, Top=757, Right=1621, Bottom=800

RAW 128 person  Left=1638, Top=755, Right=1656, Bottom=798

RAW 128 person  Left=1398, Top=766, Right=1425, Bottom=812

RAW 129 person  Left=1604, Top=757, Right=1620, Bottom=800

RAW 129 person  Left=1639, Top=759, Right=1657, Bottom=795

RAW 130 person  Left=1605, Top=756, Right=1622, Bottom=800

RAW 131 person  Left=1604, Top=757, Right=1621, Bottom=800

RAW 131 person  Left=1637, Top=756, Right=1656, Bottom=797

RAW 131 person  Left=1399, Top=767, Right=1424, Bottom=812

RAW 132 person  Left=1604, Top=758, Right=1621, Bottom=800

RAW 133 person  Left=1604, Top=757, Right=1621, Bottom=801

RAW 134 person  Left=1605, Top=755, Right=1621, Bottom=800

RAW 134 person  Left=1399, Top=766, Right=1423, Bottom=810

RAW 135 person  Left=1605, Top=756, Right=1623, Bottom=802

RAW 135 person  Left=1640, Top=758, Right=1656, Bottom=794

RAW 136 person  Left=1605, Top=756, Right=1621, Bottom=800

RAW 136 person  Left=1399, Top=766, Right=1423, Bottom=811

RAW 137 person  Left=1605, Top=754, Right=1621, Bottom=800

RAW 137 person  Left=1398, Top=765, Right=1424, Bottom=813

RAW 138 person  Left=1605, Top=755, Right=1622, Bottom=802

RAW 138 person  Left=1639, Top=759, Right=1655, Bottom=797

RAW 138 person  Left=1397, Top=774, Right=1422, Bottom=823

RAW 141 person  Left=1604, Top=756, Right=1623, Bottom=801

RAW 142 person  Left=1605, Top=755, Right=1623, Bottom=801

