RAW 1 person  Left=778, Top=267, Right=806, Bottom=339

RAW 2 person  Left=779, Top=263, Right=814, Bottom=348

RAW 3 person  Left=781, Top=265, Right=816, Bottom=348

RAW 4 person  Left=788, Top=266, Right=815, Bottom=341

RAW 4 person  Left=896, Top=336, Right=925, Bottom=383

RAW 5 person  Left=790, Top=266, Right=818, Bottom=342

RAW 6 person  Left=907, Top=342, Right=932, Bottom=384

RAW 6 person  Left=792, Top=268, Right=829, Bottom=348

RAW 7 person  Left=796, Top=267, Right=830, Bottom=351

RAW 8 person  Left=797, Top=262, Right=832, Bottom=350

RAW 9 person  Left=800, Top=262, Right=837, Bottom=351

RAW 10 person  Left=804, Top=269, Right=840, Bottom=350

RAW 11 person  Left=807, Top=264, Right=841, Bottom=351

RAW 12 person  Left=813, Top=270, Right=839, Bottom=347

RAW 13 person  Left=813, Top=267, Right=846, Bottom=352

RAW 14 person  Left=818, Top=270, Right=855, Bottom=349

RAW 15 person  Left=821, Top=269, Right=854, Bottom=352

RAW 17 person  Left=827, Top=267, Right=861, Bottom=355

RAW 19 person  Left=834, Top=271, Right=869, Bottom=356

RAW 20 person  Left=838, Top=274, Right=867, Bottom=350

RAW 21 person  Left=838, Top=265, Right=874, Bottom=356

RAW 22 person  Left=841, Top=271, Right=884, Bottom=359

RAW 23 person  Left=846, Top=262, Right=885, Bottom=363

RAW 24 person  Left=852, Top=269, Right=891, Bottom=360

RAW 25 person  Left=857, Top=277, Right=896, Bottom=365

RAW 26 person  Left=859, Top=273, Right=899, Bottom=370

RAW 27 person  Left=861, Top=275, Right=902, Bottom=368

RAW 28 person  Left=869, Top=268, Right=909, Bottom=363

RAW 29 person  Left=874, Top=273, Right=913, Bottom=371

RAW 30 person  Left=877, Top=280, Right=917, Bottom=365

RAW 31 person  Left=883, Top=281, Right=920, Bottom=368

RAW 34 person  Left=894, Top=276, Right=935, Bottom=378

RAW 35 person  Left=900, Top=282, Right=943, Bottom=379

RAW 36 person  Left=904, Top=280, Right=946, Bottom=381

RAW 37 person  Left=911, Top=283, Right=946, Bottom=382

RAW 38 person  Left=913, Top=280, Right=950, Bottom=384

RAW 96 person  Left=200, Top=264, Right=222, Bottom=314

RAW 97 person  Left=198, Top=264, Right=220, Bottom=317

RAW 98 person  Left=191, Top=262, Right=216, Bottom=319

RAW 99 person  Left=187, Top=261, Right=213, Bottom=320

RAW 100 person  Left=183, Top=260, Right=210, Bottom=318

RAW 107 person  Left=150, Top=263, Right=185, Bottom=319

RAW 112 person  Left=124, Top=262, Right=167, Bottom=334

RAW 113 person  Left=126, Top=267, Right=161, Bottom=329

