RAW 18951 person  Left=336, Top=249, Right=358, Bottom=301

RAW 18951 person  Left=256, Top=240, Right=314, Bottom=324

RAW 18993 person  Left=299, Top=255, Right=325, Bottom=322

RAW 18994 person  Left=293, Top=251, Right=335, Bottom=321

RAW 19015 person  Left=310, Top=252, Right=336, Bottom=324

RAW 19016 person  Left=309, Top=253, Right=336, Bottom=323

RAW 19018 person  Left=296, Top=250, Right=333, Bottom=329

RAW 19133 person  Left=164, Top=342, Right=211, Bottom=461

RAW 19449 person  Left=239, Top=267, Right=284, Bottom=306

RAW 19453 person  Left=257, Top=262, Right=306, Bottom=296

RAW 19548 person  Left=607, Top=257, Right=620, Bottom=286

RAW 19556 person  Left=596, Top=251, Right=607, Bottom=277

RAW 19561 person  Left=603, Top=249, Right=616, Bottom=274

RAW 19563 person  Left=630, Top=255, Right=647, Bottom=298

RAW 19565 person  Left=628, Top=256, Right=649, Bottom=296

RAW 19576 person  Left=617, Top=251, Right=630, Bottom=277

RAW 19576 person  Left=580, Top=251, Right=594, Bottom=274

RAW 19577 person  Left=581, Top=251, Right=594, Bottom=274

RAW 19577 person  Left=618, Top=251, Right=632, Bottom=275

RAW 19579 person  Left=583, Top=251, Right=594, Bottom=275

RAW 19616 person  Left=597, Top=248, Right=609, Bottom=273

RAW 19616 person  Left=581, Top=247, Right=594, Bottom=271

RAW 19617 person  Left=596, Top=248, Right=610, Bottom=273

RAW 19617 person  Left=620, Top=251, Right=634, Bottom=275

RAW 19617 person  Left=643, Top=247, Right=661, Bottom=273

RAW 19617 person  Left=580, Top=248, Right=595, Bottom=272

RAW 19619 person  Left=596, Top=250, Right=608, Bottom=274

RAW 19619 person  Left=581, Top=249, Right=595, Bottom=273

RAW 19619 person  Left=626, Top=251, Right=642, Bottom=276

RAW 19636 person  Left=604, Top=247, Right=617, Bottom=278

RAW 19639 person  Left=605, Top=249, Right=622, Bottom=273

RAW 19640 person  Left=606, Top=250, Right=623, Bottom=273

RAW 19641 person  Left=665, Top=246, Right=689, Bottom=282

RAW 19641 person  Left=605, Top=248, Right=622, Bottom=273

RAW 19642 person  Left=664, Top=248, Right=690, Bottom=281

RAW 19643 person  Left=666, Top=246, Right=691, Bottom=281

RAW 19643 person  Left=638, Top=246, Right=660, Bottom=284

RAW 19644 person  Left=667, Top=249, Right=691, Bottom=281

RAW 19645 person  Left=638, Top=248, Right=660, Bottom=283

RAW 19645 person  Left=608, Top=249, Right=623, Bottom=276

RAW 19653 person  Left=676, Top=255, Right=704, Bottom=288

RAW 19661 person  Left=651, Top=253, Right=672, Bottom=298

RAW 19663 person  Left=593, Top=250, Right=608, Bottom=280

RAW 19666 person  Left=653, Top=253, Right=679, Bottom=293

