RAW 125 person  Left=160, Top=559, Right=222, Bottom=806

RAW 126 person  Left=60, Top=561, Right=170, Bottom=811

RAW 126 person  Left=139, Top=568, Right=212, Bottom=799

RAW 127 person  Left=127, Top=576, Right=200, Bottom=799

RAW 127 person  Left=29, Top=564, Right=191, Bottom=830

RAW 128 person  Left=24, Top=564, Right=135, Bottom=800

RAW 128 person  Left=105, Top=568, Right=188, Bottom=805

RAW 129 person  Left=96, Top=577, Right=173, Bottom=821

RAW 129 person  Left=3, Top=566, Right=127, Bottom=831

RAW 130 person  Left=77, Top=583, Right=164, Bottom=822

RAW 130 person  Left=2, Top=569, Right=116, Bottom=831

RAW 131 person  Left=65, Top=589, Right=154, Bottom=820

RAW 131 person  Left=1, Top=564, Right=84, Bottom=857

RAW 131 person  Left=30, Top=579, Right=119, Bottom=834

RAW 132 person  Left=46, Top=588, Right=132, Bottom=826

RAW 132 person  Left=4, Top=575, Right=69, Bottom=854

RAW 133 person  Left=34, Top=588, Right=122, Bottom=828

RAW 133 person  Left=2, Top=587, Right=62, Bottom=845

RAW 134 person  Left=15, Top=590, Right=114, Bottom=838

RAW 135 person  Left=6, Top=599, Right=103, Bottom=846

RAW 136 person  Left=2, Top=601, Right=75, Bottom=855

RAW 137 person  Left=4, Top=602, Right=64, Bottom=859

RAW 138 person  Left=0, Top=617, Right=45, Bottom=842

RAW 140 person  Left=1702, Top=539, Right=1743, Bottom=635

RAW 143 person  Left=1713, Top=560, Right=1753, Bottom=658

RAW 176 person  Left=710, Top=521, Right=749, Bottom=622

RAW 178 person  Left=705, Top=522, Right=746, Bottom=621

RAW 179 person  Left=703, Top=525, Right=745, Bottom=622

RAW 180 person  Left=701, Top=526, Right=746, Bottom=624

RAW 181 person  Left=701, Top=530, Right=746, Bottom=630

RAW 181 person  Left=914, Top=517, Right=934, Bottom=588

RAW 182 person  Left=698, Top=534, Right=743, Bottom=636

RAW 183 person  Left=695, Top=535, Right=739, Bottom=637

RAW 184 person  Left=694, Top=543, Right=735, Bottom=644

RAW 185 person  Left=692, Top=540, Right=731, Bottom=647

RAW 186 person  Left=690, Top=545, Right=730, Bottom=652

RAW 187 person  Left=681, Top=549, Right=724, Bottom=658

RAW 188 person  Left=679, Top=552, Right=726, Bottom=659

RAW 189 person  Left=678, Top=556, Right=723, Bottom=662

RAW 190 person  Left=676, Top=556, Right=723, Bottom=661

RAW 191 person  Left=675, Top=557, Right=723, Bottom=664

RAW 192 person  Left=673, Top=559, Right=719, Bottom=664

RAW 193 person  Left=670, Top=569, Right=711, Bottom=671

RAW 193 person  Left=1774, Top=574, Right=1822, Bottom=672

RAW 193 person  Left=1504, Top=561, Right=1547, Bottom=636

RAW 194 person  Left=668, Top=564, Right=711, Bottom=675

RAW 194 person  Left=1776, Top=578, Right=1822, Bottom=671

RAW 194 person  Left=1506, Top=562, Right=1550, Bottom=637

RAW 195 person  Left=667, Top=565, Right=708, Bottom=676

RAW 195 person  Left=1781, Top=572, Right=1832, Bottom=676

RAW 195 person  Left=1511, Top=562, Right=1552, Bottom=639

RAW 195 person  Left=1499, Top=562, Right=1524, Bottom=631

RAW 196 person  Left=665, Top=566, Right=707, Bottom=676

RAW 196 person  Left=1783, Top=568, Right=1833, Bottom=677

RAW 196 person  Left=1511, Top=564, Right=1557, Bottom=638

RAW 197 person  Left=1789, Top=570, Right=1839, Bottom=676

RAW 197 person  Left=664, Top=568, Right=705, Bottom=675

RAW 197 person  Left=1511, Top=564, Right=1557, Bottom=641

RAW 198 person  Left=655, Top=564, Right=700, Bottom=676

RAW 198 person  Left=1798, Top=567, Right=1849, Bottom=680

RAW 198 person  Left=1510, Top=560, Right=1551, Bottom=639

RAW 199 person  Left=1807, Top=565, Right=1855, Bottom=678

RAW 199 person  Left=654, Top=568, Right=698, Bottom=675

RAW 199 person  Left=1524, Top=563, Right=1566, Bottom=640

RAW 200 person  Left=1809, Top=563, Right=1863, Bottom=681

RAW 200 person  Left=651, Top=566, Right=697, Bottom=675

RAW 200 person  Left=1528, Top=560, Right=1571, Bottom=637

RAW 200 person  Left=1516, Top=566, Right=1539, Bottom=626

RAW 201 person  Left=648, Top=564, Right=692, Bottom=676

RAW 201 person  Left=1812, Top=567, Right=1870, Bottom=681

RAW 201 person  Left=1527, Top=560, Right=1572, Bottom=640

RAW 202 person  Left=647, Top=555, Right=693, Bottom=671

RAW 202 person  Left=1821, Top=573, Right=1876, Bottom=681

RAW 202 person  Left=1531, Top=561, Right=1573, Bottom=636

RAW 203 person  Left=645, Top=553, Right=692, Bottom=672

RAW 203 person  Left=1828, Top=565, Right=1883, Bottom=682

RAW 203 person  Left=1526, Top=561, Right=1575, Bottom=634

RAW 204 person  Left=644, Top=552, Right=688, Bottom=673

RAW 204 person  Left=1528, Top=560, Right=1579, Bottom=635

RAW 204 person  Left=1832, Top=564, Right=1893, Bottom=682

RAW 205 person  Left=639, Top=547, Right=686, Bottom=673

RAW 205 person  Left=1847, Top=564, Right=1906, Bottom=681

RAW 205 person  Left=1528, Top=560, Right=1576, Bottom=635

RAW 206 person  Left=638, Top=545, Right=685, Bottom=675

RAW 206 person  Left=1854, Top=560, Right=1909, Bottom=682

RAW 206 person  Left=1532, Top=559, Right=1577, Bottom=634

RAW 207 person  Left=627, Top=541, Right=681, Bottom=675

RAW 207 person  Left=1857, Top=542, Right=1912, Bottom=678

RAW 207 person  Left=1546, Top=557, Right=1595, Bottom=632

RAW 208 person  Left=626, Top=538, Right=676, Bottom=674

RAW 208 person  Left=1862, Top=541, Right=1914, Bottom=675

RAW 209 person  Left=625, Top=541, Right=671, Bottom=673

RAW 210 person  Left=624, Top=539, Right=669, Bottom=673

RAW 211 person  Left=621, Top=543, Right=666, Bottom=672

