PRC 1 person  Left=1592, Top=527, Right=1658, Bottom=721

PRC 1 person  Left=916, Top=543, Right=927, Bottom=578

PRC 2 person  Left=1594, Top=529, Right=1668, Bottom=723

PRC 3 person  Left=1598, Top=529, Right=1674, Bottom=718

PRC 4 person  Left=1604, Top=527, Right=1680, Bottom=715

PRC 5 person  Left=1610, Top=530, Right=1687, Bottom=720

PRC 6 person  Left=1615, Top=531, Right=1694, Bottom=724

PRC 7 person  Left=1622, Top=535, Right=1700, Bottom=727

PRC 8 person  Left=1634, Top=548, Right=1710, Bottom=749

PRC 10 person  Left=1648, Top=538, Right=1724, Bottom=719

PRC 10 person  Left=1215, Top=554, Right=1231, Bottom=594

PRC 11 person  Left=1654, Top=533, Right=1730, Bottom=727

PRC 12 person  Left=1655, Top=531, Right=1734, Bottom=739

PRC 12 person  Left=647, Top=536, Right=696, Bottom=629

PRC 13 person  Left=1658, Top=549, Right=1746, Bottom=744

PRC 14 person  Left=1670, Top=552, Right=1752, Bottom=746

PRC 14 person  Left=1221, Top=554, Right=1234, Bottom=589

PRC 15 person  Left=1683, Top=549, Right=1761, Bottom=748

PRC 16 person  Left=1692, Top=549, Right=1772, Bottom=752

PRC 17 person  Left=1697, Top=547, Right=1780, Bottom=763

PRC 18 person  Left=1703, Top=545, Right=1789, Bottom=757

PRC 19 person  Left=1714, Top=543, Right=1797, Bottom=766

PRC 20 person  Left=1716, Top=551, Right=1807, Bottom=755

PRC 22 person  Left=1739, Top=553, Right=1820, Bottom=761

PRC 22 person  Left=781, Top=551, Right=802, Bottom=600

PRC 23 person  Left=1742, Top=560, Right=1833, Bottom=766

PRC 24 person  Left=1751, Top=557, Right=1842, Bottom=760

PRC 24 person  Left=1222, Top=561, Right=1239, Bottom=605

PRC 25 person  Left=1759, Top=550, Right=1851, Bottom=758

PRC 26 person  Left=1770, Top=552, Right=1859, Bottom=764

PRC 27 person  Left=1781, Top=560, Right=1871, Bottom=758

PRC 28 person  Left=1793, Top=557, Right=1882, Bottom=759

PRC 29 person  Left=1797, Top=562, Right=1897, Bottom=774

PRC 30 person  Left=1805, Top=566, Right=1904, Bottom=767

PRC 30 person  Left=627, Top=541, Right=669, Bottom=616

PRC 31 person  Left=1818, Top=567, Right=1908, Bottom=784

PRC 32 person  Left=1834, Top=557, Right=1918, Bottom=790

PRC 32 person  Left=620, Top=543, Right=661, Bottom=616

PRC 33 person  Left=1842, Top=568, Right=1918, Bottom=782

PRC 41 person  Left=892, Top=554, Right=906, Bottom=595

PRC 43 person  Left=883, Top=554, Right=902, Bottom=599

PRC 48 person  Left=580, Top=535, Right=625, Bottom=604

PRC 48 person  Left=550, Top=545, Right=585, Bottom=598

PRC 51 person  Left=574, Top=536, Right=616, Bottom=602

PRC 52 person  Left=570, Top=536, Right=612, Bottom=602

PRC 54 person  Left=568, Top=535, Right=602, Bottom=605

PRC 55 person  Left=531, Top=547, Right=565, Bottom=599

PRC 55 person  Left=568, Top=536, Right=599, Bottom=607

PRC 65 person  Left=1534, Top=556, Right=1560, Bottom=613

PRC 66 person  Left=1532, Top=554, Right=1561, Bottom=612

PRC 67 person  Left=1536, Top=550, Right=1563, Bottom=617

PRC 68 person  Left=913, Top=562, Right=927, Bottom=597

PRC 68 person  Left=1538, Top=559, Right=1566, Bottom=611

PRC 71 person  Left=1542, Top=556, Right=1573, Bottom=617

PRC 73 person  Left=1543, Top=557, Right=1578, Bottom=616

PRC 74 person  Left=1544, Top=551, Right=1580, Bottom=619

PRC 75 person  Left=913, Top=557, Right=928, Bottom=599

PRC 75 person  Left=1549, Top=541, Right=1590, Bottom=621

PRC 77 person  Left=1555, Top=543, Right=1589, Bottom=625

PRC 78 person  Left=1555, Top=541, Right=1593, Bottom=621

PRC 82 person  Left=1570, Top=535, Right=1600, Bottom=622

PRC 87 person  Left=1578, Top=541, Right=1613, Bottom=623

PRC 88 person  Left=1579, Top=537, Right=1615, Bottom=630

PRC 89 person  Left=1582, Top=541, Right=1619, Bottom=628

PRC 90 person  Left=1585, Top=539, Right=1623, Bottom=626

PRC 91 person  Left=1586, Top=544, Right=1626, Bottom=620

PRC 94 person  Left=410, Top=547, Right=464, Bottom=660

PRC 95 person  Left=399, Top=541, Right=464, Bottom=658

PRC 96 person  Left=389, Top=543, Right=454, Bottom=657

PRC 97 person  Left=381, Top=546, Right=444, Bottom=658

PRC 98 person  Left=371, Top=543, Right=441, Bottom=665

PRC 99 person  Left=361, Top=547, Right=431, Bottom=665

PRC 100 person  Left=352, Top=545, Right=423, Bottom=669

PRC 101 person  Left=348, Top=547, Right=417, Bottom=665

PRC 102 person  Left=330, Top=535, Right=416, Bottom=674

PRC 103 person  Left=321, Top=538, Right=412, Bottom=682

PRC 104 person  Left=317, Top=537, Right=399, Bottom=686

PRC 105 person  Left=307, Top=536, Right=389, Bottom=686

PRC 106 person  Left=298, Top=538, Right=385, Bottom=692

PRC 107 person  Left=292, Top=539, Right=374, Bottom=692

PRC 107 person  Left=913, Top=558, Right=930, Bottom=606

PRC 107 person  Left=935, Top=559, Right=950, Bottom=595

PRC 107 person  Left=862, Top=556, Right=882, Bottom=605

PRC 108 person  Left=277, Top=537, Right=368, Bottom=696

PRC 108 person  Left=934, Top=559, Right=948, Bottom=597

PRC 108 person  Left=911, Top=557, Right=928, Bottom=608

PRC 109 person  Left=274, Top=532, Right=362, Bottom=717

PRC 109 person  Left=913, Top=557, Right=931, Bottom=610

PRC 109 person  Left=891, Top=560, Right=908, Bottom=608

PRC 109 person  Left=933, Top=560, Right=947, Bottom=599

PRC 110 person  Left=266, Top=529, Right=358, Bottom=737

PRC 110 person  Left=913, Top=557, Right=930, Bottom=605

PRC 110 person  Left=934, Top=558, Right=948, Bottom=596

PRC 111 person  Left=250, Top=534, Right=343, Bottom=761

PRC 111 person  Left=912, Top=558, Right=931, Bottom=609

PRC 111 person  Left=934, Top=561, Right=948, Bottom=598

PRC 111 person  Left=1342, Top=562, Right=1364, Bottom=606

PRC 112 person  Left=242, Top=532, Right=335, Bottom=770

PRC 112 person  Left=914, Top=558, Right=933, Bottom=609

PRC 112 person  Left=934, Top=561, Right=949, Bottom=598

PRC 113 person  Left=231, Top=537, Right=321, Bottom=771

PRC 113 person  Left=913, Top=556, Right=933, Bottom=612

PRC 113 person  Left=932, Top=560, Right=948, Bottom=600

PRC 113 person  Left=1344, Top=561, Right=1365, Bottom=603

PRC 114 person  Left=222, Top=535, Right=316, Bottom=776

PRC 114 person  Left=1346, Top=562, Right=1366, Bottom=605

PRC 115 person  Left=207, Top=534, Right=314, Bottom=783

PRC 116 person  Left=193, Top=524, Right=299, Bottom=792

PRC 117 person  Left=182, Top=536, Right=290, Bottom=783

PRC 118 person  Left=173, Top=540, Right=279, Bottom=786

PRC 118 person  Left=1348, Top=562, Right=1372, Bottom=612

PRC 119 person  Left=159, Top=531, Right=277, Bottom=776

PRC 119 person  Left=1756, Top=543, Right=1794, Bottom=621

PRC 119 person  Left=1466, Top=574, Right=1488, Bottom=627

PRC 119 person  Left=1651, Top=553, Right=1690, Bottom=633

PRC 119 person  Left=1357, Top=564, Right=1379, Bottom=610

PRC 120 person  Left=138, Top=545, Right=250, Bottom=783

PRC 120 person  Left=1654, Top=555, Right=1691, Bottom=637

PRC 120 person  Left=1357, Top=564, Right=1380, Bottom=606

PRC 120 person  Left=1467, Top=574, Right=1488, Bottom=627

PRC 120 person  Left=1754, Top=546, Right=1795, Bottom=625

PRC 121 person  Left=135, Top=548, Right=234, Bottom=792

PRC 121 person  Left=196, Top=558, Right=264, Bottom=774

PRC 121 person  Left=1652, Top=553, Right=1693, Bottom=635

PRC 121 person  Left=1360, Top=566, Right=1382, Bottom=607

PRC 121 person  Left=1763, Top=571, Right=1796, Bottom=620

PRC 121 person  Left=1465, Top=572, Right=1489, Bottom=628

PRC 122 person  Left=115, Top=555, Right=232, Bottom=795

PRC 122 person  Left=1363, Top=564, Right=1385, Bottom=605

PRC 122 person  Left=191, Top=556, Right=261, Bottom=776

PRC 122 person  Left=1464, Top=571, Right=1488, Bottom=627

PRC 122 person  Left=1768, Top=575, Right=1797, Bottom=621

PRC 123 person  Left=110, Top=556, Right=222, Bottom=797

PRC 123 person  Left=183, Top=568, Right=243, Bottom=779

PRC 123 person  Left=1364, Top=562, Right=1386, Bottom=607

PRC 123 person  Left=1461, Top=569, Right=1486, Bottom=630

PRC 123 person  Left=1769, Top=572, Right=1801, Bottom=621

PRC 124 person  Left=85, Top=555, Right=199, Bottom=811

PRC 124 person  Left=138, Top=552, Right=230, Bottom=808

