RAW 1 person  Left=1625, Top=768, Right=1647, Bottom=827

RAW 1 person  Left=1433, Top=756, Right=1451, Bottom=807

RAW 2 person  Left=1624, Top=769, Right=1646, Bottom=827

RAW 2 person  Left=1433, Top=755, Right=1451, Bottom=808

RAW 2 person  Left=1289, Top=513, Right=1309, Bottom=540

RAW 3 person  Left=1624, Top=768, Right=1646, Bottom=827

RAW 3 person  Left=1433, Top=755, Right=1451, Bottom=809

RAW 4 person  Left=1433, Top=754, Right=1451, Bottom=810

RAW 4 person  Left=1624, Top=768, Right=1647, Bottom=827

RAW 5 person  Left=1624, Top=768, Right=1646, Bottom=826

RAW 6 person  Left=1624, Top=768, Right=1647, Bottom=825

RAW 7 person  Left=1624, Top=766, Right=1648, Bottom=827

RAW 8 person  Left=1623, Top=767, Right=1646, Bottom=824

RAW 26 person  Left=1624, Top=764, Right=1644, Bottom=811

RAW 27 person  Left=1624, Top=763, Right=1645, Bottom=812

RAW 28 person  Left=1624, Top=764, Right=1644, Bottom=812

RAW 29 person  Left=1624, Top=763, Right=1644, Bottom=811

RAW 30 person  Left=1624, Top=763, Right=1643, Bottom=809

RAW 35 person  Left=1625, Top=761, Right=1646, Bottom=808

RAW 60 person  Left=1288, Top=515, Right=1309, Bottom=541

RAW 61 person  Left=1288, Top=515, Right=1308, Bottom=542

RAW 67 person  Left=1626, Top=753, Right=1646, Bottom=803

RAW 68 person  Left=1626, Top=755, Right=1645, Bottom=802

RAW 69 person  Left=1627, Top=753, Right=1646, Bottom=802

RAW 70 person  Left=1628, Top=753, Right=1646, Bottom=801

RAW 71 person  Left=1629, Top=754, Right=1646, Bottom=801

RAW 72 person  Left=1629, Top=753, Right=1647, Bottom=802

RAW 73 person  Left=1628, Top=752, Right=1648, Bottom=802

RAW 74 person  Left=1629, Top=752, Right=1648, Bottom=802

RAW 75 person  Left=1629, Top=751, Right=1648, Bottom=801

RAW 75 person  Left=1433, Top=756, Right=1452, Bottom=810

RAW 76 person  Left=1630, Top=752, Right=1649, Bottom=802

RAW 77 person  Left=1630, Top=752, Right=1648, Bottom=800

RAW 78 person  Left=1630, Top=752, Right=1648, Bottom=801

RAW 79 person  Left=1630, Top=752, Right=1648, Bottom=801

RAW 80 person  Left=1630, Top=750, Right=1649, Bottom=802

RAW 82 person  Left=1630, Top=750, Right=1649, Bottom=802

RAW 83 person  Left=1630, Top=750, Right=1649, Bottom=802

RAW 84 person  Left=1628, Top=751, Right=1650, Bottom=802

RAW 84 person  Left=1433, Top=756, Right=1451, Bottom=808

RAW 85 person  Left=1629, Top=750, Right=1650, Bottom=802

RAW 86 person  Left=1628, Top=752, Right=1650, Bottom=801

RAW 87 person  Left=1629, Top=752, Right=1650, Bottom=801

RAW 89 person  Left=1629, Top=752, Right=1650, Bottom=800

RAW 90 person  Left=1629, Top=752, Right=1649, Bottom=799

RAW 93 person  Left=1287, Top=517, Right=1309, Bottom=541

RAW 96 person  Left=1432, Top=756, Right=1452, Bottom=809

RAW 102 person  Left=1629, Top=750, Right=1649, Bottom=801

RAW 103 person  Left=1629, Top=751, Right=1649, Bottom=800

RAW 103 person  Left=1432, Top=756, Right=1452, Bottom=809

RAW 104 person  Left=1635, Top=747, Right=1657, Bottom=801

RAW 104 person  Left=1433, Top=756, Right=1452, Bottom=808

RAW 106 person  Left=1629, Top=752, Right=1649, Bottom=799

RAW 106 person  Left=1671, Top=735, Right=1692, Bottom=789

RAW 106 person  Left=1432, Top=756, Right=1451, Bottom=807

RAW 108 person  Left=1630, Top=752, Right=1649, Bottom=799

RAW 110 person  Left=1432, Top=755, Right=1452, Bottom=810

RAW 110 person  Left=1630, Top=751, Right=1649, Bottom=800

RAW 111 person  Left=1630, Top=750, Right=1649, Bottom=800

RAW 113 person  Left=1433, Top=755, Right=1452, Bottom=809

RAW 114 person  Left=1432, Top=755, Right=1452, Bottom=810

RAW 114 person  Left=1693, Top=689, Right=1715, Bottom=725

RAW 114 person  Left=1633, Top=747, Right=1657, Bottom=802

RAW 115 person  Left=1693, Top=689, Right=1715, Bottom=724

RAW 115 person  Left=1432, Top=755, Right=1453, Bottom=810

RAW 115 person  Left=1633, Top=748, Right=1657, Bottom=801

RAW 116 person  Left=1432, Top=755, Right=1452, Bottom=809

RAW 116 person  Left=1633, Top=744, Right=1658, Bottom=802

RAW 116 person  Left=1693, Top=688, Right=1715, Bottom=725

RAW 117 person  Left=1432, Top=756, Right=1452, Bottom=809

RAW 117 person  Left=1634, Top=746, Right=1658, Bottom=801

RAW 117 person  Left=1693, Top=689, Right=1716, Bottom=725

RAW 118 person  Left=1634, Top=746, Right=1657, Bottom=800

RAW 118 person  Left=1432, Top=755, Right=1452, Bottom=808

RAW 118 person  Left=1668, Top=734, Right=1690, Bottom=786

RAW 118 person  Left=1692, Top=688, Right=1716, Bottom=724

RAW 119 person  Left=1432, Top=755, Right=1452, Bottom=809

RAW 119 person  Left=1634, Top=746, Right=1658, Bottom=799

RAW 119 person  Left=1667, Top=734, Right=1690, Bottom=786

RAW 120 person  Left=1635, Top=747, Right=1657, Bottom=800

RAW 121 person  Left=1635, Top=747, Right=1658, Bottom=800

RAW 121 person  Left=1669, Top=734, Right=1691, Bottom=785

RAW 121 person  Left=1433, Top=754, Right=1452, Bottom=808

RAW 124 person  Left=1635, Top=745, Right=1657, Bottom=800

RAW 125 person  Left=1635, Top=747, Right=1657, Bottom=800

RAW 126 person  Left=1636, Top=745, Right=1657, Bottom=799

RAW 129 person  Left=1432, Top=756, Right=1453, Bottom=809

RAW 130 person  Left=1433, Top=756, Right=1452, Bottom=808

RAW 131 person  Left=1433, Top=755, Right=1452, Bottom=810

RAW 131 person  Left=1669, Top=733, Right=1690, Bottom=780

RAW 131 person  Left=1635, Top=746, Right=1657, Bottom=796

RAW 132 person  Left=1432, Top=757, Right=1452, Bottom=808

RAW 132 person  Left=1635, Top=747, Right=1657, Bottom=796

RAW 133 person  Left=1637, Top=748, Right=1656, Bottom=795

RAW 133 person  Left=1433, Top=756, Right=1451, Bottom=809

RAW 134 person  Left=1636, Top=746, Right=1657, Bottom=796

